233,18-09-2020,5214677
234,19-09-2020,5308014
235,20-09-2020,5400619
236,21-09-2020,5487580
237,22-09-2020,5562663
238,23-09-2020,5646010
239,24-09-2020,5732518
240,25-09-2020,5818570
241,26-09-2020,5903932
242,27-09-2020,5992532
243,28-09-2020,6074702
244,29-09-2020,6208230
